"type","public","latitude","longitude","city","province","region"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,51.3149758,4.2893042,"Antwerpen","Antwerp","Flanders"
"unknown",NA,50.5895227,5.4677635,"Flémalle","Liege","Wallonia"
"unknown",NA,51.0619847,5.1683485,"Beringen","Limburg","Flanders"
"unknown",NA,51.0696577,5.1755036,"Beringen","Limburg","Flanders"
"unknown",NA,51.2036092,5.1545718,"Mol","Antwerp","Flanders"
"unknown",NA,51.1976045,5.1624994,"Mol","Antwerp","Flanders"
"unknown",NA,50.7881573,4.4180065,"Bruxelles","Brussels","Brussels"
"unknown",NA,49.9172274,5.3771383,"Libramont-Chevigny","Luxembourg","Wallonia"
"unknown",NA,51.1703056,4.1415684,"Sint-Niklaas","East Flanders","Flanders"
"unknown",NA,50.8382268,4.3598783,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6819908,5.5789956,"Herstal","Liege","Wallonia"
"unknown",NA,51.1417909,4.1498344,"Sint-Niklaas","East Flanders","Flanders"
"unknown",NA,51.1404882,4.1772206,"Temse","East Flanders","Flanders"
"unknown",NA,50.9976423,3.4179339,"Aarsele","West Flanders","Flanders"
"unknown",NA,51.0139313,3.3978819,"Kanegem","West Flanders","Flanders"
"unknown",NA,51.0024532,3.3267163,"Tielt","West Flanders","Flanders"
"unknown",NA,50.718562,4.6747878,"Grez-Doiceau","Walloon Brabant","Wallonia"
"unknown",NA,50.5945237,4.3199041,"Nivelles","Walloon Brabant","Wallonia"
"unknown",NA,51.1362037,2.7556258,"Nieuwpoort","West Flanders","Flanders"
"unknown",NA,50.9812863,3.5329295,"Deinze","East Flanders","Flanders"
"unknown",NA,51.0953655,4.235889,"Bornem","Antwerp","Flanders"
"unknown",NA,50.6749552,4.3829813,"Braine-l Alleud","Walloon Brabant","Wallonia"
"unknown",1,50.6692731,4.6185257,"Louvain-la-Neuve","Walloon Brabant","Wallonia"
"unknown",NA,50.4743119,4.1844491,"La","Hainaut","Wallonia"
"unknown",NA,50.5303456,4.2543333,"Seneffe","Hainaut","Wallonia"
"unknown",NA,51.0999319,4.1150833,"HammeO.-Vl.","East Flanders","Flanders"
"unknown",NA,50.6577813,5.7159367,"Cerexhe-Heuseux","Liege","Wallonia"
"unknown",NA,50.8569755,4.3193694,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.6399026,5.5212702,"Saint-NicolasLg.)","Liege","Wallonia"
"unknown",NA,50.6339552,5.5195268,"Saint-NicolasLg.)","Liege","Wallonia"
"unknown",NA,50.8719784,4.3759315,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.8253376,4.3523141,"Bruxelles","Brussels","Brussels"
"unknown",NA,50.5539938,5.5811637,"Esneux","Liege","Wallonia"
"unknown",NA,50.7160411,4.3987371,"Hoeilaart","Flemish Brabant","Flanders"
"unknown",NA,50.3847667,4.465355,"Couillet","Hainaut","Wallonia"
"unknown",NA,49.5601987,5.5241084,"Virton","Luxembourg","Wallonia"
"unknown",NA,50.4655272,4.8713065,"Namur","Namur","Wallonia"
"unknown",NA,50.4661293,6.1711028,"Butgenbach","Liege","Wallonia"
